7bb47452d9c2e1846a8aafee92d73c4c,批,pi,10.28,10.46
cb11d550fc86cb39a917550dded07049,条,tiao,0.56,0.78
7e9bbfc74496c5936d0f8b875f725fe6,条,tiao,0.74,1.17
f7f3c76db9020b4adf4da5f70b907ff0,条,tiao,2.82,2.94
6da8ce7589f739065d1082f3d32ea183,取消,qu xiao,1.52,1.66
4c849082fd2a08213603543a4768f81e,条件,tiao jian,1.54,1.96
a30ae8080c8a10b2e6d27106beafc243,条件,tiao jian,1.23,1.68
a30ae8080c8a10b2e6d27106beafc243,条件,tiao jian,4.21,4.83
a30ae8080c8a10b2e6d27106beafc243,条件,tiao jian,6.39,7.00
7f14099a86f48a15dc165de9ae9983ef,优势,you shi,2.46,3.23
1b371fa384837ee3912a9bb4ef93428a,启动,qi dong,19.00,19.51
edb9a8083acb14b35ad246b0eb0abf8b,一样,yi yang,1.12,1.42
704355f1f437ddc7cb17882f3e5fe597,一样,yi yang,4.22,4.58
4128f9e51260b4808810077c115d115e,一样,yi yang,5.16,5.61
c9de29a94cb7ba41fae2e521fa78611c,一样,yi yang,1.82,2.02
e8e748c09e6e60abce6554f6b4b1fe0c,一样,yi yang,2.30,2.72
ab010a03ea7e548831686ce0c2af6e51,一样,yi yang,5.84,6.15
9db446e789431de0f4c7f9aaecdae207,一样,yi yang,4.58,5.08
91c53d03534078a43e874ee6dbd581ae,一样,yi yang,3.62,3.86
a115b0a72944c10cfd04f525725fcb6b,一样,yi yang,5.60,5.88
afe7e416472c15a1ae85bb0e7f1a043d,集中,ji zhong,2.16,2.44
56b198d0ed123c5285e5f7e6cc086723,集中,ji zhong,2.00,2.30
1f7760551389f7e321671a086167e282,集中,ji zhong,2.56,2.86
a1c2fdd2a2af56fa2acac5b8296ecdcd,集中,ji zhong,2.68,3.02
ac52be12828b139bfbb1ca0232e5a948,到了,dao le,1.54,1.74
772b221aab1c8006472a8dd26198235c,到了,dao le,1.68,1.96
a115b0a72944c10cfd04f525725fcb6b,到了,dao le,11.36,12.22
4128f9e51260b4808810077c115d115e,力量,li liang,5.61,6.06
5dbf34315dcb31822b229c4394663645,措施,cuo shi,13.95,14.43
2531761ee37125accd742683a9ce0fdc,措施,cuo shi,6.58,7.17
559159646380c3cd81ede7cd83e27f87,起,qi,8.06,8.22
2a46bd263e1eec12a12c9f41c8e56c54,起,qi,14.70,14.90
1e08ac46878ce85eb3614d7bba73396c,起,qi,4.62,4.82
1226b612f77dfa6869813be201caba76,起,qi,4.98,5.20
1226b612f77dfa6869813be201caba76,起,qi,8.82,9.00
b2a30b80535917e5790a2ae74e75796d,起,qi,6.26,6.38
d3ea276ea5611ec6aa17e82923b9e29a,起,qi,8.38,8.54
af954f48816fc7cd9b1cbf17b952a9fe,以下,yi xia,6.75,7.05
1c7c76084a27c1b19cedb8408ad1cbca,这样,zhe yang,7.54,7.78
1396cfe4d4849182b83eaaff3c4207e8,这样,zhe yang,3.87,4.22
ae97776d9db797ad0389a8af06802aff,这样,zhe yang,1.53,1.82
0ed94c80b212fcd05a0a8f6c2c6a7ef5,这样,zhe yang,1.69,2.19
435b02daeb4ce55b995e8e60b0a4faf4,这样,zhe yang,1.75,2.12
72674a4630e4bb8167fa380fa46cbbd0,这样,zhe yang,6.29,6.62
e8f9b6ec858852e52aee5c99e5951a79,这样,zhe yang,5.29,5.97
5c9ca8c01ca81b4c06dd58cdcf1dfec3,这样,zhe yang,13.06,13.34
96fc9aed40395c90412706de3db78078,这样,zhe yang,3.48,3.72
0cb85ef8d996ba7e94a24f649f57bb3b,这样,zhe yang,10.74,11.06
6448b8762329a9bc6da7368621617afb,这样,zhe yang,13.61,13.93
5664ffbd1cd1c521819c61b473954b84,这样,zhe yang,1.35,1.66
e4ff77e4ae0e20461e8ffe4f219ac482,这样,zhe yang,1.25,1.52
3c3cdff5e5c983f95e5c1e66eebd3dab,这样,zhe yang,0.34,0.56
1bbbda9d4046bd417015eb7d5f2983ee,这样,zhe yang,0.88,1.16
61804bc84049d3331f55e38f51220b93,这样,zhe yang,5.75,5.97
29d8b24a2b973ef92d04aaa591069946,过来,guo lai,2.17,2.40
5b6bd2037e77f81d01d7edc347e2d1c9,过来,guo lai,5.62,5.78
3043203dad0fa837da96e245391ad658,过来,guo lai,0.16,0.38
017a3af479cb78225497cf52224deed2,过来,guo lai,8.84,9.14
c46a607bed618ab286335c95c20fcbe4,过来,guo lai,4.68,5.04
fcf3aca0b2525bae8f8b212fa3f6413d,大学,da xue,6.08,6.40
cf3e408efd05ea9b10e2e3286a79cd1c,户,hu,0.78,0.94
4e18492cfcdbc4cf6501c8812142d8ca,户,hu,0.62,0.76
481794a5f80a1f76a220305606c5c8f9,四川,si chuan,4.26,4.56
5487af59be91c10dff6aa6a8a5863061,四川,si chuan,3.44,3.86
559159646380c3cd81ede7cd83e27f87,四川,si chuan,12.33,12.82
0bb75f27d902d5ee86c507521cc8d081,四川,si chuan,4.48,4.78
fadb85bd740895e95b84e00d4e7b701f,四川,si chuan,4.60,4.89
23e299daec0071f970374a23d0ff39d9,作为,zuo wei,3.00,3.30
bc6f64d6721525fba3aca5af6dc212a3,作为,zuo wei,0.18,0.42
dd6ac60b95218b193c22d5f6084f3155,作为,zuo wei,1.96,2.37
24a40f8811b9ab41db9712af6c686feb,作为,zuo wei,2.92,3.41
04169dbcb72ed062e0a93d03bdaa9e4c,作为,zuo wei,0.04,0.28
29ed0c8169fec681cfb7ba6acd5c1597,作为,zuo wei,10.72,11.00
82250e75fc46885022454475e3ab22e3,将,jiang,0.40,0.60
59c12850c5836c09aa1cefdc8f743fdb,将,jiang,0.62,0.84
396f4a661cbaf2ca6c89cb8ca182409d,将,jiang,2.93,3.12
dd6ac60b95218b193c22d5f6084f3155,将,jiang,1.57,1.96
29b3a78dd94fa9efbd453f0103f45d86,将,jiang,2.36,2.56
bb1f2079367595d6790d59cd14a903b9,将,jiang,2.70,2.94
b09840f2aa2bfaad74a3e955832a7296,将,jiang,4.52,4.76
b09840f2aa2bfaad74a3e955832a7296,将,jiang,6.20,6.40
d77b519d558bb3552cde9fa4147bd0df,将,jiang,1.07,1.32
b2a30b80535917e5790a2ae74e75796d,将,jiang,15.74,15.94
204eb4d8d756d361f3d62669c324f655,将,jiang,1.70,1.88
9781c28c3120425123fae15a31104ded,发布,fa bu,0.34,0.64
f42a7f5d44569c78045dc658fa7d4ce1,发布,fa bu,12.40,12.74
04169dbcb72ed062e0a93d03bdaa9e4c,动力,dong li,3.94,4.59
9249b55775e074a6e2ec686857e18a69,处,chu,16.09,16.52
fb90da78ef10522d3ec5171eff0e7698,处,chu,1.26,1.46
e4abb9dae356f84e493872574f9c6d2a,处,chu,3.34,3.66
1a82dbd4101077682cb723ca4621b44d,现在,xian zai,1.71,2.06
1a82dbd4101077682cb723ca4621b44d,现在,xian zai,6.29,6.97
cd30d55bc637e0219d30ec13d6c48a53,现在,xian zai,0.62,0.94
1fedc42da25c27f5533d5e66857ac02b,现在,xian zai,1.72,2.02
ebf1ee38e3f2ba5a9fc9002c71c3e62f,现在,xian zai,25.12,25.61
04169dbcb72ed062e0a93d03bdaa9e4c,现在,xian zai,1.03,1.28
14650ef8578bc708d74af9bf2dfb2e70,现在,xian zai,3.64,3.88
2315b2cc70d5e9893f6414a2a4aa37c9,现在,xian zai,0.92,1.22
34356d20a439763617b59276f9cd6574,现在,xian zai,0.30,0.40
d7cf6b69cd8199bccb0a43920b037e7f,现在,xian zai,6.56,6.78
80b5e294825ee7c1ce88ee56c3989024,现在,xian zai,2.03,2.42
42709a59805e9bec4d11871de2649cbd,现在,xian zai,11.64,12.22
458b63757994fa7ef873d3558c3a27fe,现在,xian zai,0.73,0.98
