7f14099a86f48a15dc165de9ae9983ef,优势,you shi,2.46,3.23
afe7e416472c15a1ae85bb0e7f1a043d,集中,ji zhong,2.16,2.44
56b198d0ed123c5285e5f7e6cc086723,集中,ji zhong,2.00,2.30
1f7760551389f7e321671a086167e282,集中,ji zhong,2.56,2.86
a1c2fdd2a2af56fa2acac5b8296ecdcd,集中,ji zhong,2.68,3.02
a115b0a72944c10cfd04f525725fcb6b,到了,dao le,11.36,12.22
559159646380c3cd81ede7cd83e27f87,起,qi,8.06,8.22
2a46bd263e1eec12a12c9f41c8e56c54,起,qi,14.70,14.90
1e08ac46878ce85eb3614d7bba73396c,起,qi,4.62,4.82
1226b612f77dfa6869813be201caba76,起,qi,8.82,9.00
b2a30b80535917e5790a2ae74e75796d,起,qi,6.26,6.38
d3ea276ea5611ec6aa17e82923b9e29a,起,qi,8.38,8.54
1c7c76084a27c1b19cedb8408ad1cbca,这样,zhe yang,7.54,7.78
0ed94c80b212fcd05a0a8f6c2c6a7ef5,这样,zhe yang,1.69,2.19
72674a4630e4bb8167fa380fa46cbbd0,这样,zhe yang,6.29,6.62
5664ffbd1cd1c521819c61b473954b84,这样,zhe yang,1.35,1.66
3c3cdff5e5c983f95e5c1e66eebd3dab,这样,zhe yang,0.34,0.56
5b6bd2037e77f81d01d7edc347e2d1c9,过来,guo lai,5.62,5.78
481794a5f80a1f76a220305606c5c8f9,四川,si chuan,4.26,4.56
5487af59be91c10dff6aa6a8a5863061,四川,si chuan,3.44,3.86
559159646380c3cd81ede7cd83e27f87,四川,si chuan,12.33,12.82
0bb75f27d902d5ee86c507521cc8d081,四川,si chuan,4.48,4.78
fadb85bd740895e95b84e00d4e7b701f,四川,si chuan,4.60,4.89
bb1f2079367595d6790d59cd14a903b9,将,jiang,2.70,2.94
b09840f2aa2bfaad74a3e955832a7296,将,jiang,4.52,4.76
b09840f2aa2bfaad74a3e955832a7296,将,jiang,6.20,6.40
d77b519d558bb3552cde9fa4147bd0df,将,jiang,1.07,1.32
b2a30b80535917e5790a2ae74e75796d,将,jiang,15.74,15.94
1a82dbd4101077682cb723ca4621b44d,现在,xian zai,1.71,2.06
1fedc42da25c27f5533d5e66857ac02b,现在,xian zai,1.72,2.02
ebf1ee38e3f2ba5a9fc9002c71c3e62f,现在,xian zai,25.12,25.61
d7cf6b69cd8199bccb0a43920b037e7f,现在,xian zai,6.56,6.78
80b5e294825ee7c1ce88ee56c3989024,现在,xian zai,2.03,2.42
42709a59805e9bec4d11871de2649cbd,现在,xian zai,11.64,12.22
a04bba842d8347baea683c3fb1b870df,现在,xian zai,0.07,0.44
0e1c9bb9564bb4c3b74e805666ffbecf,多,duo,1.24,1.38
bb1f2079367595d6790d59cd14a903b9,多,duo,1.16,1.26
1f7760551389f7e321671a086167e282,多,duo,1.66,1.88
a66dc5075b6d4c05d36932a1355a3d38,多,duo,4.40,4.62
98eeaa0b00ae19e540e408ba91d07ce7,多,duo,4.14,4.34
afe7e416472c15a1ae85bb0e7f1a043d,主要,zhu yao,1.96,2.16
9a1a4a415cc220a21027c549e1a83ef7,整个,zheng ge,6.78,7.10
9a1a4a415cc220a21027c549e1a83ef7,整个,zheng ge,7.88,8.10
0bc6a61179a1f67098a5bc6b0c406020,没有,mei you,1.92,2.09
41c5faa24ce4617332a21b83ab43ce09,没有,mei you,1.96,2.43
92096578da8262840803ba3eb39962f2,没有,mei you,0.98,1.18
